2025-07-26 23:59:37 [main] INFO  c.e.U.config.LoggingConfig - Truncated existing logfile: logs/usermanagement.log
2025-07-26 23:59:38 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-07-26 23:59:38 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-26 23:59:38 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-07-26 23:59:38 [main] INFO  c.e.U.UserManagementApplication - Started UserManagementApplication in 4.31 seconds (process running for 4.792)
2025-07-26 23:59:38 [main] INFO  c.e.U.config.LoggingConfig - ===============================================
2025-07-26 23:59:38 [main] INFO  c.e.U.config.LoggingConfig - UserManagement Application Started at 2025-07-26T15:59:38.463729200Z
2025-07-26 23:59:38 [main] INFO  c.e.U.config.LoggingConfig - ===============================================
2025-07-26 23:59:47 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-07-26 23:59:47 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-07-26 23:59:47 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
